"","Disaster.Type","Mean_Deaths","Median_Deaths","SD_Deaths","IQR_Deaths","Mean_Affected","Median_Affected","SD_Affected","IQR_Affected","Mean_Damage","Median_Damage","SD_Damage","IQR_Damage"
"1","Drought",78.1026392961877,10,1090.27295477086,0,3520861.41935484,518000,18715874.4448588,2420896.5,631446.146627566,127000,2079058.56796825,0
"2","Earthquake",1337.98956521739,10,12845.8624194541,8,247358.829565217,5500,2109641.99815,46613.5,1239010.47130435,127000,9934628.78348454,1000
"3","Extreme temperature",607.114718614719,21,3289.77985302787,149.25,345775.508658009,79103.5,3899127.87338276,0,226521.480519481,127000,1057920.76576048,0
"4","Flood",35.8246628131021,10,162.118562244357,14,435999.266033581,14500,4439230.55735983,77103.5,287741.41315717,127000,1375134.62059388,0
"5","Storm",96.9842657342657,10,2911.06446387335,9,319067.412587413,28724.5,2274884.73726722,78009.75,789099.433094406,127000,4932254.44552474,64000
